geo,YEAR,PRISONERS_NUM,CAPACITY_NUM,OCC_ABS,PRISONERS_100K,CAPACITY_100K,OCC_PER_100K,REGION
Albania,2014,5689.0,4577.0,124.3,196.44,158.04,124.3,South
Albania,2015,5981.0,5484.0,109.06,206.79,190.03,108.82,South
Albania,2016,6031.0,5455.0,110.56,208.97,189.7,110.16,South
Albania,2017,5674.0,5455.0,104.01,197.25,189.63,104.02,South
Albania,2018,5316.0,6236.0,85.25,185.21,217.26,85.25,South
Albania,2019,5045.0,6106.0,82.62,176.25,213.32,82.62,South
Albania,2020,4614.0,6150.0,75.02,162.12,216.1,75.02,South
Albania,2021,4956.0,5714.0,86.73,175.14,201.93,86.73,South
Albania,2022,5060.0,5657.0,89.45,181.13,202.5,89.45,South
Austria,2014,8692.0,8666.0,100.3,102.18,101.87,100.3,North
Austria,2015,8665.0,8784.0,98.65,101.03,102.31,98.75,North
Austria,2016,8619.0,8825.0,97.67,99.18,101.43,97.78,North
Austria,2017,8852.0,8746.0,101.21,100.9,99.69,101.21,North
Austria,2018,9163.0,8843.0,103.62,103.86,100.24,103.61,North
Austria,2019,9072.0,8883.0,102.13,102.41,100.27,102.13,North
Austria,2020,8488.0,8869.0,95.7,95.36,99.64,95.7,North
Austria,2021,8436.0,8612.0,97.96,94.44,96.41,97.96,North
Austria,2022,8993.0,8473.0,106.14,100.16,94.37,106.14,North
Belgium,2015,10994.0,9952.0,110.47,97.84,88.56,110.48,North
Belgium,2017,10471.0,9231.0,113.43,92.24,81.32,113.43,North
Belgium,2019,10794.0,9231.0,116.93,94.23,80.58,116.94,North
Belgium,2020,10357.0,9554.0,108.4,89.89,82.92,108.41,North
Belgium,2021,10769.0,9563.0,112.61,93.2,82.76,112.61,North
Belgium,2022,11050.0,9703.0,113.88,95.11,83.52,113.88,North
Bulgaria,2014,7870.0,7870.0,100.0,108.62,108.62,100.0,South
Bulgaria,2015,7408.0,7408.0,100.0,102.86,102.86,100.0,South
Bulgaria,2016,7345.0,8491.0,86.5,102.67,118.69,86.5,South
Bulgaria,2017,6988.0,8491.0,82.3,98.4,119.56,82.3,South
Bulgaria,2018,6651.0,8241.0,80.71,94.34,116.89,80.71,South
Bulgaria,2019,6448.0,8105.0,79.56,92.11,115.79,79.55,South
Bulgaria,2020,6251.0,8161.0,76.6,89.92,117.4,76.59,South
Bulgaria,2021,5873.0,8105.0,72.46,84.91,117.18,72.46,South
Bulgaria,2022,5577.0,8161.0,68.34,81.55,125.89,64.78,South
Croatia,2014,3763.0,4022.0,93.56,88.61,94.71,93.56,South
